domain,experiment_id,file_path,method,shift_condition,dgp_or_dataset,n_train,n_cal,n_test,T,alpha,n_seeds,seed,overall_coverage,coverage_std_pooled,coverage_se,mean_width,width_std_pooled,early_coverage_mean,late_coverage_mean,coverage_degradation,time_resolved_metrics,aci_stepsize,covariate_mode,with_shift,mixed,notes
synthetic,results_adaptive_noshift_20260414_103751,results/synthetic/json/results_adaptive_noshift_20260414_103751.json,Sliding-window split conformal,no_shift,static-X Pois(λ=1.0),600,600,300,20,0.1,30,,0.8999444444444444,0.3000740597886207,0.0007072813417823706,1.2898688712674957,0.49601932988627967,0.8995185185185184,0.9002380952380953,-0.0007195767195768976,coverage_max;coverage_mean;coverage_median;coverage_min;coverage_q25;coverage_q75;coverage_std;empirical_coverage;n_predictions_total;width_mean;width_median;width_std,0.005,static,False,,"baseline labeled 'adaptive' but is sliding-window split conformal (no ACI); see CLAUDE.md §Baselines | n_test stored as n_series | coverage_std is pooled per-(series,t), not cross-seed"
synthetic,results_adaptive_shift_20260414_103752,results/synthetic/json/results_adaptive_shift_20260414_103752.json,Sliding-window split conformal,shift,static-X Pois(λ=1.0)→λ̃=2.0,600,600,300,20,0.1,30,,0.8968666666666667,0.3041329460760358,0.0007168482285086916,1.289868871267496,0.49601932988627967,0.8519074074074076,0.9156190476190476,-0.06371164021164,coverage_max;coverage_mean;coverage_median;coverage_min;coverage_q25;coverage_q75;coverage_std;empirical_coverage;n_predictions_total;width_mean;width_median;width_std,0.005,static,True,,"baseline labeled 'adaptive' but is sliding-window split conformal (no ACI); see CLAUDE.md §Baselines | n_test stored as n_series | coverage_std is pooled per-(series,t), not cross-seed"
synthetic,results_algorithm_dynamic_LRonly_20260423_220742,results/synthetic/json/results_algorithm_dynamic_LRonly_20260423_220742.json,"AdaptedCAFHT (LR only, γ=0)",shift,dynamic-X ρ=0.6→ρ̃=0.9,1000,1000,500,40,0.1,100,,0.8538095,0.35329709552973965,0.0002498187720225904,1.2286126854538404,0.3039479399554864,0.830523076923077,0.8701042857142857,-0.03958120879120863,coverage_max;coverage_mean;coverage_median;coverage_min;coverage_q25;coverage_q75;coverage_std;empirical_coverage;n_predictions_total;width_mean;width_median;width_std,0.0,dynamic,True,,"n_test stored as n_series | coverage_std is pooled per-(series,t), not cross-seed"
synthetic,results_algorithm_dynamic_noshift_20260423_220707,results/synthetic/json/results_algorithm_dynamic_noshift_20260423_220707.json,AdaptedCAFHT (uniform weights + ACI),no_shift,dynamic-X ρ=0.6,1000,1000,500,40,0.1,100,,0.8982835,0.3022751290261076,0.00021374079351839926,1.1758796378507814,0.32656469077244415,0.8993707692307693,0.8971114285714287,0.002259340659340636,coverage_max;coverage_mean;coverage_median;coverage_min;coverage_q25;coverage_q75;coverage_std;empirical_coverage;n_predictions_total;width_mean;width_median;width_std,0.005,dynamic,False,,"ACI stepsize fixed at 0.005 (γ-selector not active in this run) | n_test stored as n_series | coverage_std is pooled per-(series,t), not cross-seed"
synthetic,results_algorithm_dynamic_shift_20260423_220748,results/synthetic/json/results_algorithm_dynamic_shift_20260423_220748.json,Weighted CAFHT (LR + ACI),shift,dynamic-X ρ=0.6→ρ̃=0.9,1000,1000,500,40,0.1,100,,0.8564595,0.35062319498251965,0.0002479280388134327,1.2346146537675118,0.30224343892495975,0.8346723076923077,0.87129,-0.036617692307692296,coverage_max;coverage_mean;coverage_median;coverage_min;coverage_q25;coverage_q75;coverage_std;empirical_coverage;n_predictions_total;width_mean;width_median;width_std,0.005,dynamic,True,,"ACI stepsize fixed at 0.005 (γ-selector not active in this run) | n_test stored as n_series | coverage_std is pooled per-(series,t), not cross-seed"
synthetic,results_algorithm_dynamicshift_LRandACI_20260424_110424,results/synthetic/json/results_algorithm_dynamicshift_LRandACI_20260424_110424.json,Weighted CAFHT (LR + ACI),shift,dynamic-X ρ=0.6→ρ̃=0.9,1000,1000,500,40,0.1,30,,0.8584633333333334,0.3485742943126408,0.0004500074789296202,1.2363241369918714,0.30201096283334783,0.8372512820512821,0.8725428571428572,-0.0352915750915751,coverage_max;coverage_mean;coverage_median;coverage_min;coverage_q25;coverage_q75;coverage_std;empirical_coverage;n_predictions_total;width_mean;width_median;width_std,0.005,dynamic,True,,"ACI stepsize fixed at 0.005 (γ-selector not active in this run) | n_test stored as n_series | coverage_std is pooled per-(series,t), not cross-seed"
synthetic,results_algorithm_dynamicshift_LRonly_20260424_110424,results/synthetic/json/results_algorithm_dynamicshift_LRonly_20260424_110424.json,"AdaptedCAFHT (LR only, γ=0)",shift,dynamic-X ρ=0.6→ρ̃=0.9,1000,1000,500,40,0.1,30,,0.8560266666666667,0.3510626904446301,0.000453219984522274,1.2302731880911484,0.3036473218790958,0.8333794871794871,0.8715857142857143,-0.03820622710622723,coverage_max;coverage_mean;coverage_median;coverage_min;coverage_q25;coverage_q75;coverage_std;empirical_coverage;n_predictions_total;width_mean;width_median;width_std,0.0,dynamic,True,,"n_test stored as n_series | coverage_std is pooled per-(series,t), not cross-seed"
synthetic,results_algorithm_dynamicshift_weightone_20260424_110416,results/synthetic/json/results_algorithm_dynamicshift_weightone_20260424_110416.json,Weighted CAFHT (LR + ACI),shift,dynamic-X ρ=0.6→ρ̃=0.9,1000,1000,500,40,0.1,30,,0.859355,0.3476549783549777,0.0004488206471316429,1.2384221539572855,0.3048619639704892,0.840030769230769,0.8722666666666667,-0.03223589743589772,coverage_max;coverage_mean;coverage_median;coverage_min;coverage_q25;coverage_q75;coverage_std;empirical_coverage;n_predictions_total;width_mean;width_median;width_std,0.005,dynamic,True,,"ACI stepsize fixed at 0.005 (γ-selector not active in this run) | n_test stored as n_series | coverage_std is pooled per-(series,t), not cross-seed"
synthetic,results_algorithm_noshift_20260206_155850,results/synthetic/json/results_algorithm_noshift_20260206_155850.json,AdaptedCAFHT (uniform weights + ACI),no_shift,static-X Pois(λ=1.0),1000,1000,500,20,0.1,10,,0.89577,0.3055586802890731,0.000966261388548668,1.2873866030273073,0.4823307701708961,0.8949666666666668,0.8950857142857143,-0.0001190476190474632,coverage_max;coverage_mean;coverage_median;coverage_min;coverage_q25;coverage_q75;coverage_std;empirical_coverage;n_predictions_total;width_mean;width_median;width_std,0.005,static,False,,"ACI stepsize fixed at 0.005 (γ-selector not active in this run) | n_test stored as n_series | coverage_std is pooled per-(series,t), not cross-seed"
synthetic,results_algorithm_noshift_20260414_103748,results/synthetic/json/results_algorithm_noshift_20260414_103748.json,AdaptedCAFHT (uniform weights + ACI),no_shift,static-X Pois(λ=1.0),600,600,300,20,0.1,30,,0.8974333333333333,0.30339206574258915,0.000715101956815932,1.28691849963563,0.4905633871512587,0.8983703703703704,0.8962222222222224,0.0021481481481480103,coverage_max;coverage_mean;coverage_median;coverage_min;coverage_q25;coverage_q75;coverage_std;empirical_coverage;n_predictions_total;width_mean;width_median;width_std,0.005,static,False,,"ACI stepsize fixed at 0.005 (γ-selector not active in this run) | n_test stored as n_series | coverage_std is pooled per-(series,t), not cross-seed"
synthetic,results_algorithm_noshift_LRandACI_20260424_110409,results/synthetic/json/results_algorithm_noshift_LRandACI_20260424_110409.json,AdaptedCAFHT (uniform weights + ACI),no_shift,static-X Pois(λ=1.0),1000,1000,500,40,0.1,30,,0.8986733333333333,0.30176078818973295,0.0003895715023990865,1.0580863683866382,0.4170699926958032,0.898851282051282,0.8980857142857144,0.0007655677655675763,coverage_max;coverage_mean;coverage_median;coverage_min;coverage_q25;coverage_q75;coverage_std;empirical_coverage;n_predictions_total;width_mean;width_median;width_std,0.005,static,False,,"ACI stepsize fixed at 0.005 (γ-selector not active in this run) | n_test stored as n_series | coverage_std is pooled per-(series,t), not cross-seed"
synthetic,results_algorithm_noshift_LRonly_20260424_110413,results/synthetic/json/results_algorithm_noshift_LRonly_20260424_110413.json,"AdaptedCAFHT (uniform weights, γ=0)",no_shift,static-X Pois(λ=1.0),1000,1000,500,40,0.1,30,,0.8985583333333333,0.3019126610968072,0.00038976756947903273,1.0576291363740624,0.41706663540955635,0.8985435897435899,0.898095238095238,0.0004483516483519967,coverage_max;coverage_mean;coverage_median;coverage_min;coverage_q25;coverage_q75;coverage_std;empirical_coverage;n_predictions_total;width_mean;width_median;width_std,0.0,static,False,,"n_test stored as n_series | coverage_std is pooled per-(series,t), not cross-seed"
synthetic,results_algorithm_noshift_weightone_20260424_110358,results/synthetic/json/results_algorithm_noshift_weightone_20260424_110358.json,AdaptedCAFHT (uniform weights + ACI),no_shift,static-X Pois(λ=1.0),1000,1000,500,40,0.1,30,,0.8987283333333334,0.3016881107985898,0.0003894776762905721,1.0580312353688173,0.4164025145827055,0.8988051282051284,0.8981809523809524,0.0006241758241759543,coverage_max;coverage_mean;coverage_median;coverage_min;coverage_q25;coverage_q75;coverage_std;empirical_coverage;n_predictions_total;width_mean;width_median;width_std,0.005,static,False,,"ACI stepsize fixed at 0.005 (γ-selector not active in this run) | n_test stored as n_series | coverage_std is pooled per-(series,t), not cross-seed"
synthetic,results_algorithm_shift_20260206_160044,results/synthetic/json/results_algorithm_shift_20260206_160044.json,Weighted CAFHT (LR + ACI),shift,static-X Pois(λ=1.0)→λ̃=2.0,1000,1000,500,20,0.1,10,,0.88793,0.31545255602071126,0.0009975485707473092,1.2921269067720018,0.6061626288257307,0.8574,0.8992285714285714,-0.041828571428571326,coverage_max;coverage_mean;coverage_median;coverage_min;coverage_q25;coverage_q75;coverage_std;empirical_coverage;n_predictions_total;width_mean;width_median;width_std,0.005,static,True,,"ACI stepsize fixed at 0.005 (γ-selector not active in this run) | n_test stored as n_series | coverage_std is pooled per-(series,t), not cross-seed"
synthetic,results_algorithm_shift_20260210_121930,results/synthetic/json/results_algorithm_shift_20260210_121930.json,Weighted CAFHT (LR + ACI),shift,static-X Pois(λ=1.0)→λ̃=2.0,1000,1000,500,20,0.1,1,,0.8838,0.32046460022910483,0.0032046460022910482,1.2729493813011121,0.4670729385131799,0.8320000000000002,0.9085714285714286,-0.0765714285714284,coverage_max;coverage_mean;coverage_median;coverage_min;coverage_q25;coverage_q75;coverage_std;empirical_coverage;n_predictions_total;width_mean;width_median;width_std,0.005,static,True,,"ACI stepsize fixed at 0.005 (γ-selector not active in this run) | n_test stored as n_series | coverage_std is pooled per-(series,t), not cross-seed"
synthetic,results_algorithm_shift_20260414_103750,results/synthetic/json/results_algorithm_shift_20260414_103750.json,Weighted CAFHT (LR + ACI),shift,static-X Pois(λ=1.0)→λ̃=2.0,600,600,300,20,0.1,30,,0.8870388888888889,0.3165452550389191,0.0007461043213014829,1.27762212324522,0.5656253402778529,0.8484074074074076,0.903904761904762,-0.05549735449735438,coverage_max;coverage_mean;coverage_median;coverage_min;coverage_q25;coverage_q75;coverage_std;empirical_coverage;n_predictions_total;width_mean;width_median;width_std,0.005,static,True,,"ACI stepsize fixed at 0.005 (γ-selector not active in this run) | n_test stored as n_series | coverage_std is pooled per-(series,t), not cross-seed"
synthetic,results_algorithm_staticshift_LRandACI_20260424_110415,results/synthetic/json/results_algorithm_staticshift_LRandACI_20260424_110415.json,Weighted CAFHT (LR + ACI),shift,static-X Pois(λ=1.0)→λ̃=2.0,1000,1000,500,40,0.1,30,,0.8943233333333334,0.3074233380680278,0.00039688182285765476,1.0409639700564017,0.45766910947168854,0.8781794871794874,0.9012428571428571,-0.023063369963369773,coverage_max;coverage_mean;coverage_median;coverage_min;coverage_q25;coverage_q75;coverage_std;empirical_coverage;n_predictions_total;width_mean;width_median;width_std,0.005,static,True,,"ACI stepsize fixed at 0.005 (γ-selector not active in this run) | n_test stored as n_series | coverage_std is pooled per-(series,t), not cross-seed"
synthetic,results_algorithm_staticshift_LRonly_20260424_110422,results/synthetic/json/results_algorithm_staticshift_LRonly_20260424_110422.json,"AdaptedCAFHT (LR only, γ=0)",shift,static-X Pois(λ=1.0)→λ̃=2.0,1000,1000,500,40,0.1,30,,0.893375,0.3086358847817279,0.00039844721393387443,1.0377630411361274,0.45650634969833637,0.8770358974358973,0.9006380952380955,-0.023602197802198188,coverage_max;coverage_mean;coverage_median;coverage_min;coverage_q25;coverage_q75;coverage_std;empirical_coverage;n_predictions_total;width_mean;width_median;width_std,0.0,static,True,,"n_test stored as n_series | coverage_std is pooled per-(series,t), not cross-seed"
synthetic,results_algorithm_staticshift_weightone_20260424_110410,results/synthetic/json/results_algorithm_staticshift_weightone_20260424_110410.json,Weighted CAFHT (LR + ACI),shift,static-X Pois(λ=1.0)→λ̃=2.0,1000,1000,500,40,0.1,30,,0.9009183333333334,0.2987716351952143,0.00038571252247674093,1.0529011417956058,0.4211844362810605,0.8869128205128204,0.904642857142857,-0.017730036630036583,coverage_max;coverage_mean;coverage_median;coverage_min;coverage_q25;coverage_q75;coverage_std;empirical_coverage;n_predictions_total;width_mean;width_median;width_std,0.005,static,True,,"ACI stepsize fixed at 0.005 (γ-selector not active in this run) | n_test stored as n_series | coverage_std is pooled per-(series,t), not cross-seed"
finance,featurizer_tuning_20240201_20240328,results/finance/json/featurizer_tuning_20240201_20240328.json,(featurizer grid-search),tuning,S&P 500 Technology · sp500_20240201_20240328.npz,,,,,0.1,1,42,0.8753561253561254,,,0.0432222720859744,,,,,variants[],,,,,featurizer tuning artifact (not an experiment run); 13 variants compared | schema different from experiment JSONs: no config/coverage_by_time/width_by_time
